(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0         3688        67           8           0
      1         7691         0           2        7689
      2           19         0          19           0
      3         3010         5           5        2999
      4         8973        61          53        8859
      5            4         0           3           0
      6            7         1           6           0
      7            4         0           3           0
      8         2302         0          10        2291
      9         2298        98           0        2200
     10         3853      1687         200        1965
     11         5132      3081         400        1650
     12         5091      4271         600         220
     13         5173      4512         660           0
     14         5162      4501         660           0
     15         5149      4489         660           0
     16         5139      4478         660           0
     17         5128      4468         660           0
     18         5117      4456         661           0
     19           73        70           2           0
     20           21        20           0           0
Average:     3477.81   1726.90
Throughout: 0.23/s
