(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0         1745         0           0           0
      1         7231         6           1        7224
      2           19         0          19           0
      3         3011         4           6        3000
      4         7807       266          50        7491
      5            4         0           3           0
      6         3461         1          10        3450
      7         3458       457           0        3000
      8         4812      2007         200        2604
      9         5361      3358         400        1603
     10         5413      4512         600         300
     11         5410      4709         700           0
     12         5359      4659         700           0
     13         5309      4608         700           0
     14         5258      4558         700           0
     15         5207      4507         700           0
     16         5157      4456         700           0
     17          303       300           2           0
     18            1         1           0           0
Average:     3911.89   2021.53
Throughout: 0.24/s
